Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-06-05 00:00:00,1268606,CREDIT On Market 1100001100021102,1211232024104.0,2.0,,2.0
2024-06-11 00:00:00,943219,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-07-05 00:00:00,558795,CREDIT Corporate Action TRANSFER_ON_LISTING_APPROVAL,,3.0,,8.0
2024-07-19 00:00:00,98103456,DEBIT On Market 1100001100021102,1211232024135.0,,3.0,5.0
2024-07-22 00:00:00,98103456,DEBIT On Market 1100001100021102,1211232024135.0,,3.0,2.0
2024-07-22 00:00:00,98103456,CREDIT On Market 1100001100021102,1211232024135.0,3.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: IN8029A01010,ISIN Name: BPCLUITYTLIST PEN,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-01 00:00:00,381687,CREDIT Corporate Action BONUS,,3.0,,3.0
2024-07-05 00:00:00,558795,DEBIT Corporate Action TRANSFER_ON_LISTING_APPROVAL,,,3.0,0.0
2024-11-27 00:00:00,,Closing Balance,,,,0.0
ISIN: INE216A01030,ISIN Name: BRITANNIA IND-EQ1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,860757,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-04-15 00:00:00,478646,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-06-06 00:00:00,434026,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-06-07 00:00:00,419177,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-07-25 00:00:00,9139367,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,2.0
2024-07-26 00:00:00,9139367,DEBIT On Market 1100001100021102,1211232024139.0,,2.0,0.0
2024-07-26 00:00:00,9139367,CREDIT On Market 1100001100021102,1211232024139.0,2.0,,2.0
2024-07-29 00:00:00,744805,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-31 00:00:00,22311850,DEBIT On Market 1100001100021102,1211232024143.0,,1.0,2.0
2024-08-01 00:00:00,22311850,CREDIT On Market 1100001100021102,1211232024143.0,1.0,,3.0
2024-08-01 00:00:00,22311850,DEBIT On Market 1100001100021102,1211232024143.0,,1.0,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE0LMW01024,ISIN Name: CELLO WORLD LTD-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-04 00:00:00,543767,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-03 00:00:00,563773,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-07-18 00:00:00,94148964,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,7.0
2024-07-18 00:00:00,94148964,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,5.0
2024-07-30 00:00:00,503768,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-08-06 00:00:00,34354819,DEBIT On Market 1100001100021102,1211232024147.0,,4.0,6.0
2024-08-07 00:00:00,34354819,DEBIT On Market 1100001100021102,1211232024147.0,,4.0,2.0
2024-08-07 00:00:00,34354819,CREDIT On Market 1100001100021102,1211232024147.0,4.0,,6.0
2024-08-20 00:00:00,280829,CREDIT On Market 1208870000010189,,1.0,,7.0
2024-11-27 00:00:00,,Closing Balance,,,,7.0
ISIN: INE522F01014,ISIN Name: COAL INDIA LTD-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,798700,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-07 00:00:00,419494,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE704P01025,ISIN Name: COCHIN SHIP-EQ5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-19 00:00:00,381268,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-06-21 00:00:00,38386517,DEBIT On Market 1100001100021102,1211232024116.0,,1.0,2.0
2024-06-24 00:00:00,38386517,CREDIT On Market 1100001100021102,1211232024116.0,1.0,,3.0
2024-06-24 00:00:00,38386517,DEBIT On Market 1100001100021102,1211232024116.0,,1.0,2.0
2024-07-08 00:00:00,610279,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-10 00:00:00,79168445,DEBIT On Market 1100001100021102,1211232024129.0,,1.0,2.0
2024-07-11 00:00:00,79168445,CREDIT On Market 1100001100021102,1211232024129.0,1.0,,3.0
2024-07-11 00:00:00,79168445,DEBIT On Market 1100001100021102,1211232024129.0,,1.0,2.0
2024-07-19 00:00:00,796162,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-22 00:00:00,1030580,DEBIT On Market 1100001100021102,1211232024136.0,,1.0,2.0
2024-07-23 00:00:00,1030580,DEBIT On Market 1100001100021102,1211232024136.0,,1.0,1.0
2024-07-23 00:00:00,1030580,CREDIT On Market 1100001100021102,1211232024136.0,1.0,,2.0
2024-07-25 00:00:00,9157086,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,1.0
2024-07-26 00:00:00,9157086,CREDIT On Market 1100001100021102,1211232024139.0,1.0,,2.0
2024-07-26 00:00:00,9157086,DEBIT On Market 1100001100021102,1211232024139.0,,1.0,1.0
2024-07-30 00:00:00,504828,CREDIT On Market 1208870000010189,,2.0,,3.0
2024-08-02 00:00:00,27766220,DEBIT On Market 1100001100021102,1211232024145.0,,1.0,2.0
